;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
70;AG8;small;71;298,0;298,9;319,0;326,2;523,12;20,0079;1153,2;38,5
71;AG8;small;72;262,0;262,0;268,0;276,0;438,34400000000005;20,0105;1225,0;6,5
72;AG8;small;73;277,0;277,0;294,0;298,1;452,447;20,0064;1262,3;12,8
73;AG8;small;74;271,0;280,0;294,0;304,1;526,545;20,009;1070,0;21,3
74;AG8;small;75;219,0;219,0;235,0;239,4;405,245;20,0074;1286,6;9,0
75;AG8;small;76;296,0;296,0;320,0;323,2;508,77700000000004;20,0202;1195,9;10,5
76;AG8;small;77;288,0;288,0;293,0;302,6;480,28999999999996;20,0083;1259,7;6,7
77;AG8;small;78;257,0;257,0;275,0;283,1;476,686;20,0133;1057,5;14,7
78;AG8;small;79;281,0;281,0;303,0;308,0;482,88199999999995;20,0099;1130,6;11,3
79;AG8;small;80;279,0;279,0;291,0;300,5;494,196;20,0092;1197,4;10,2
80;AG8;small;81;270,0;270,0;278,0;290,2;452,433;20,008000000000003;1252,2;7,5
81;AG8;small;82;346,0;346,9;368,0;383,0;611,9219999999999;20,0094;1044,6;98,9
82;AG8;small;83;265,0;265,0;278,0;283,8;503,235;20,0069;1133,6;9,3
83;AG8;small;84;272,0;272,0;287,0;294,0;459,00100000000003;20,009800000000002;1259,7;11,9
84;AG8;small;85;304,0;304,0;321,0;330,2;513,229;20,0099;1230,1;16,4
85;AG8;small;86;336,0;336,0;359,0;363,4;571,26;20,014599999999998;1115,5;10,9
86;AG8;small;87;267,0;267,0;279,0;290,1;466,805;20,0096;1195,8;9,5
87;AG8;small;88;305,0;305,0;322,0;330,4;510,98;20,0084;1181,2;13,1
88;AG8;small;89;289,0;289,0;300,0;311,6;495,849;20,0107;1152,0;10,0
89;AG8;small;90;311,0;311,0;337,0;342,3;544,365;20,0085;1116,9;13,3
90;AG8;small;91;280,0;280,0;296,0;305,5;486,858;20,0102;1155,0;8,6
91;AG8;small;92;298,0;298,0;318,0;325,8;514,399;20,011000000000003;1210,2;9,9
92;AG8;small;93;304,0;304,0;327,0;331,9;541,801;20,0092;1068,0;12,7
93;AG8;small;94;308,0;308,0;322,0;334,2;537,9449999999999;20,0165;1139,3;9,3
94;AG8;small;95;263,0;263,0;273,0;282,7;447,025;20,017699999999998;1234,8;10,1
95;AG8;small;96;267,0;267,0;291,0;297,4;488,137;20,0191;1086,6;18,0
96;AG8;small;97;264,0;264,0;273,0;281,3;449,378;20,012800000000002;1250,9;8,3
97;AG8;small;98;296,0;296,0;306,0;316,8;517,174;20,0149;1204,9;9,0
98;AG8;small;99;273,0;273,0;284,0;296,2;511,941;20,0075;1027,5;16,2
99;AG8;small;100;62,0;62,0;73,0;83,4;35,232;0,0081;248,2;
