;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
88;AG8;large;89;13935,0;14075,6;15339,0;15497,6;63226,652;401,6828;129,1;128,8
89;AG8;large;90;14589,0;14677,7;16204,0;16261,6;65203,411;402,4231;128,5;128,5
90;AG8;large;91;14587,0;14819,8;16189,0;16249,8;69196,234;402,7337;109,9;109,4
91;AG8;large;92;14149,0;14211,8;15643,0;15705,6;58749,676;401,7254;125,8;125,5
92;AG8;large;93;14252,0;14331,0;15713,0;15899,7;63218,132;401,0971;127,1;126,8
93;AG8;large;94;14374,0;14460,4;15871,0;16006,4;70092,227;401,6732;123,5;123,3
94;AG8;large;95;14396,0;14528,9;16041,0;16102,0;68007,515;401,5958;129,5;129,4
95;AG8;large;96;13714,0;13890,0;15516,0;15588,2;59107,588;401,6527;159,1;158,9
96;AG8;large;97;13669,0;13736,4;15212,0;15273,0;66358,312;401,6308;140,8;140,2
97;AG8;large;98;13967,0;14107,8;15585,0;15728,0;58651,31999999999;401,7415;133,4;133,1
98;AG8;large;99;15660,0;15784,7;17218,0;17264,2;78024,38100000001;401,5226;110,6;110,4
99;AG8;large;100;3587,0;3697,2;5216,0;5310,7;5191,125;1,3183;59,9;59,9
